laptop_name,item_number,brand,platform,processor,processor_type,processor_cores,processor_speed,ram,storage,storage_type,screen_size,resolution,graphics_chipset,graphics,os,retail_price
VivoBook Max X541UA ,10562713,Asus,Windows,Intel Core i5-6198DU,Intel,2,2.3,8,1024,HDD,15.6,1366 x 768,Intel HD,Intel,Windows 10 (64-bit),549.95
HP 14-AX020CA,10481595,HP,Windows,Intel Celeron N3060,Intel,2,1.6,4,32,SSD,14,1366 x 768,Intel HD Graphics 400,Intel,Windows 10 Home,349.99
VivoBook Max X541UV,10490599,Asus,Windows,Intel Core i7-6500U,Intel,2,2.5,8,1024,HDD,15.6,1366 x 768,NVIDIA GeForce 920MX,NVIDIA,Windows 10 (64 bit),999.99
HP Touchscreen Laptop,10483535,HP,Windows,Intel Core i3-6100U,Intel,2,2.3,8,1024,HDD,15.6,1366 x 768, Intel HD Graphics 520 ,Intel,Windows 10 Home,699.99
Acer Swift 3,10584954,Acer,Windows,Intel i5-6200U,Intel,2,2.3,8,256,SSD,14,1920 x 1080,Intel HD Graphics 520,Intel,Windows 10,849.95
HP Laptop,10549825,HP,Windows,AMD Quad-Core E2-7110,AMD,4,1.8,4,500,HDD,15.6,1366 x 768,AMD Radeon R2,AMD,Windows 10 Home,399.95
Acer Aspire F Touchscreen Laptop,10509023,Acer,Windows,Intel Core i5-7200U,Intel,2,2.5,12,1024,HDD,15,1366 x 768,Intel HD Graphics 620,Intel,Windows 10 Home (64-Bit),799.99
"Alienware 17.3"" Gaming Laptop",10395746,Dell,Windows,Intel Core i7-6700HQ,Intel,4,2.6,16,1280,SSHD,17.3,1920 x 1080,NVIDIA GeForce GTX 980M,NVIDIA,Windows 10 Home High-End English,2899.99
ASUS X-Series,10490597,Asus,Windows,AMD Quad Core A10-9600P,AMD,4,2.4,12,1024,HDD,15.6,1366 x 768,AMD Radeon R5,AMD,Windows 10 (64-bit),699.99
HP Touchscreen Laptop,10483532,HP,Windows,Intel Pentium N3710,Intel,4,1.6,4,500,HDD,15.6,1367 x 768,Intel HD 405,Intel,Windows 10 Home,549.99
 ENVY Touchscreen Convertible Laptop,10483527,HP,Windows,Intel Core i5-7200U 7th Generation,Intel,2,2.5,8,256,SSD,15.6,1920 x 1080,Intel HD 620,Intel,Windows 10 Home,1099.99
Asus ZenBook 3,10491120,Asus,Windows,Intel Core i7-7500U ,Intel,2,2.7,8,512,SSD,12.5,1920 x 1080,Intel HD,Intel,Windows 10 (64 bit),1799.99
Dell i3552,10481501,Dell,Windows, Intel Pentium Processor N3710 (2M Cache; up to 2.56 GHz) ,Intel,4,1.6,8,1024,HDD,15.6,1366 x 768,Intel HD Graphics,Intel,Windows 10 Home,599.99
 Spectre Touchscreen Convertible Laptop,10573688,HP,Windows,Intel Core i5-7200U 7th Generation,Intel,2,2.5,8,256,SSD,13.3,1920 x 1080,Intel HD 620,Intel,Windows 10 Home,1399.99
Acer Aspire E,10497406,Acer,Windows,Intel Core i5-7200U,Intel,2,2.5,12,1024,HDD,17.3,1600 x 900,NVIDIA 940MX,NVIDIA,Windows 10,899.99
ASUS Transformer Mini Convertible Laptop ,10484254,Asus,Windows,Intel Quad-Core Atom x5-Z8350,Intel,4,1.44,4,128,SSD,10.1,1280 x 800,Intel HD Graphics,Intel,Windows 10 (64-Bit),549.99
HP Laptop,10440263,HP,Windows,Intel Celeron N3060,Intel,2,1.6,4,500,HDD,15.6,1366 x 768,Intel HD Graphics 400,Intel,Windows 10 Home,399.95
Hp Touchscreen Laptop,10483531,HP,Windows,AMD A9-9410 7th Generation,AMD,2,2.9,8,1024,HDD,15.6,1366 x 768,AMD Radeon R5,AMD,Windows 10 Home,699.99
Acer Aspire E Touchscreen Laptop,10497404,Acer,Windows,Intel Core i5-7200U,Intel,2,2.5,8,1024,HDD,15.6,1366 x 768,Intel HD Graphics 620,Intel,Windows 10,749.99
Acer Aspire ES Laptop,10497400,Acer,Windows, Intel Celeron N3350 ,Intel,2,1.5,4,500,HDD,15.6,1366 x 768,Intel HD 500,Intel,Windows 10,349.99
